name,type,core,mem,kID,cycles,totalpower,dynpower,corepower,mempower,time,performance,normdynpowerDFS,normdynpowerDVFS,normtotalpowerDFS,normtotalpowerDVFS,effDFS,effDVFS,int_ins,int_bytes
stencil,1,800,900,2,1291999,149.57,94.57,67.06,27.51,1614,0.91,0.85,0.63,0.9,0.63,1.01,1.44,24.49,4.63
stencil,1,1000,900,2,1445684,165.41,110.41,75.92,34.49,1445,1.02,0.99,0.86,0.99,0.84,1.02,1.21,24.49,4.63
stencil,1,1200,900,2,1764347,166.66,111.66,76.58,35.08,1470,1,1,1,1,1,1,1,24.49,4.63
stencil,1,1200,750,2,1955932,156.47,101.47,69.98,31.49,1629,0.9,0.91,0.86,0.94,0.9,0.96,1,24.49,4.63
stencil,1,1200,600,2,2343670,141.36,86.36,60.16,26.2,1953,0.75,0.77,0.69,0.85,0.79,0.89,0.95,24.49,4.63
stencil,1,1200,450,2,3033674,123.94,68.94,48.66,20.28,2528,0.58,0.62,0.52,0.74,0.68,0.78,0.85,24.49,4.63
syrk,1,600,900,1,94659997,72.57,17.57,17.28,0.29,157766,0.87,0.82,0.41,0.95,0.47,0.92,1.87,3.69,0.08
syrk,1,800,900,1,116650976,74.01,19.01,18.72,0.29,145813,0.95,0.89,0.57,0.97,0.62,0.98,1.52,3.69,0.08
syrk,1,1000,900,1,140868169,75.28,20.28,19.93,0.35,140868,0.98,0.95,0.77,0.99,0.8,0.99,1.23,3.69,0.08
syrk,1,1200,900,1,165642214,76.4,21.4,21.1,0.3,138035,1,1,1,1,1,1,1,3.69,0.08
syrk,1,1200,750,1,165965540,76.23,21.23,20.94,0.29,138304,1,0.99,0.99,1,1,1,1,3.69,0.08
syrk,1,1200,600,1,166529533,76.15,21.15,20.71,0.44,138774,0.99,0.99,0.98,1,0.99,1,1,3.69,0.08
syrk,1,1200,450,1,99668988,82.47,27.47,26.46,1.02,83057,1.66,1.28,1.26,1.08,1.07,1.54,1.55,3.69,0.08
