name,type,core,mem,kID,cycles,totalpower,dynpower,corepower,mempower,time,performance,normdynpowerDFS,normdynpowerDVFS,normtotalpowerDFS,normtotalpowerDVFS,effDFS,effDVFS,int_ins,int_bytes
fdtd2d,1,800,900,3,590486,113.01,58.01,38.83,19.18,738,0.91,0.89,0.67,0.94,0.66,0.97,1.38,9.43,2.13
fdtd2d,1,1000,900,3,694907,117.18,62.18,41.79,20.39,694,0.97,0.95,0.83,0.97,0.82,0.99,1.18,9.43,2.13
fdtd2d,1,1200,900,3,805531,120.25,65.25,44.16,21.09,671,1,1,1,1,1,1,1,9.43,2.13
fdtd2d,1,1200,750,3,817061,119.26,64.26,43.47,20.79,680,0.99,0.98,0.92,0.99,0.96,0.99,1.03,9.43,2.13
fdtd2d,1,1200,600,3,847493,117.19,62.19,42.16,20.03,706,0.95,0.95,0.84,0.97,0.91,0.98,1.04,9.43,2.13
fdtd2d,1,1200,450,3,922250,112.85,57.85,39.46,18.39,768,0.87,0.89,0.74,0.94,0.86,0.93,1.02,9.43,2.13
gemm,1,600,900,1,23076130,90.51,35.51,33.54,1.98,38460,0.86,0.84,0.43,0.93,0.47,0.93,1.85,5144,2.5
gemm,1,800,900,1,28781998,93.1,38.1,35.98,2.11,35977,0.92,0.9,0.59,0.96,0.62,0.96,1.49,5144,2.5
gemm,1,1000,900,1,34093134,95.56,40.56,38.33,2.23,34093,0.97,0.96,0.78,0.98,0.8,0.99,1.22,5144,2.5
gemm,1,1200,900,1,39790912,97.39,42.39,40.1,2.29,33159,1,1,1,1,1,1,1,5144,2.5
gemm,1,1200,750,1,40481116,96.7,41.7,39.45,2.25,33734,0.98,0.98,0.97,0.99,0.99,0.99,0.99,5144,2.5
gemm,1,1200,600,1,41514347,95.77,40.77,38.58,2.2,34595,0.96,0.96,0.94,0.98,0.98,0.97,0.98,5144,2.5
gemm,1,1200,450,1,36174694,100.03,45.03,42.5,2.52,30145,1.1,1.06,1.03,1.03,1.01,1.07,1.08,5144,2.5
gesummv,1,600,900,1,70456417,87.29,32.29,31.71,0.58,117427,0.97,1,0.5,1,0.49,0.97,1.96,2,0.06
gesummv,1,800,900,1,92692954,87.32,32.32,31.73,0.59,115866,0.98,1,0.65,1,0.64,0.98,1.53,2,0.06
gesummv,1,1000,900,1,113909752,87.35,32.35,31.76,0.6,113909,1,1,0.81,1,0.81,1,1.23,2,0.06
gesummv,1,1200,900,1,136117294,87.38,32.38,31.78,0.6,113431,1,1,1,1,1,1,1,2,0.06
gesummv,1,1200,750,1,139092508,87.21,32.21,31.62,0.59,115910,0.98,0.99,0.99,1,1,0.98,0.98,2,0.06
gesummv,1,1200,600,1,143463955,87.03,32.03,31.46,0.57,119553,0.95,0.99,0.98,1,0.99,0.95,0.95,2,0.06
gesummv,1,1200,450,1,150297120,86.84,31.84,31.3,0.54,125247,0.91,0.98,0.97,0.99,0.99,0.91,0.91,2,0.06
histo,1,600,900,1,13070,102.01,47.01,41.11,5.9,21,0.62,0.66,0.37,0.81,0.42,0.76,1.47,22.47,5.2
histo,1,800,900,1,13480,112.59,57.59,49.74,7.85,16,0.81,0.81,0.56,0.89,0.6,0.91,1.36,22.47,5.2
histo,1,1000,900,1,14342,120.18,65.18,56.06,9.11,14,0.93,0.92,0.77,0.96,0.79,0.97,1.18,22.47,5.2
histo,1,1200,900,1,15801,125.8,70.8,60.92,9.88,13,1,1,1,1,1,1,1,22.47,5.2
histo,1,1200,750,1,15643,125.7,70.7,60.82,9.88,13,1,1,0.97,1,0.98,1,1.02,22.47,5.2
histo,1,1200,600,1,16559,121.12,66.12,56.86,9.26,13,1,0.93,0.89,0.96,0.94,1.04,1.07,22.47,5.2
histo,1,1200,450,1,17354,119.09,64.09,55.1,8.99,14,0.93,0.91,0.84,0.95,0.91,0.98,1.02,22.47,5.2
histo,1,600,900,2,88167,120.38,65.38,36.93,28.46,146,0.89,0.88,0.63,0.93,0.57,0.96,1.56,12.52,0.87
histo,1,800,900,2,110547,124.5,69.5,39.43,30.07,138,0.94,0.94,0.75,0.96,0.7,0.98,1.34,12.52,0.87
histo,1,1000,900,2,133959,126.8,71.8,41.37,30.42,133,0.98,0.97,0.86,0.98,0.84,1,1.16,12.52,0.87
histo,1,1200,900,2,156974,129.15,74.15,43.04,31.11,130,1,1,1,1,1,1,1,12.52,0.87
histo,1,1200,750,2,191002,119.61,64.61,37.98,26.63,159,0.82,0.87,0.8,0.93,0.89,0.88,0.92,12.52,0.87
histo,1,1200,600,2,238082,109.97,54.97,33.11,21.86,198,0.66,0.74,0.64,0.85,0.79,0.77,0.83,12.52,0.87
histo,1,1200,450,2,310715,100.13,45.13,28.51,16.62,258,0.5,0.61,0.49,0.78,0.71,0.65,0.71,12.52,0.87
histo,1,600,900,3,445980,105.81,50.81,32.56,18.25,743,0.55,0.68,0.45,0.81,0.47,0.68,1.18,12.58,2.13
histo,1,800,900,3,448110,113,58,40.04,17.96,560,0.73,0.77,0.58,0.87,0.6,0.84,1.21,12.58,2.13
histo,1,1000,900,3,470424,122.6,67.6,47.17,20.43,470,0.87,0.9,0.78,0.94,0.79,0.93,1.1,12.58,2.13
histo,1,1200,900,3,492919,130.26,75.26,54.1,21.16,410,1,1,1,1,1,1,1,12.58,2.13
histo,1,1200,750,3,485960,130.79,75.79,54.46,21.34,404,1.01,1.01,0.95,1,0.97,1.01,1.04,12.58,2.13
histo,1,1200,600,3,503197,129.61,74.61,52.94,21.66,419,0.98,0.99,0.89,0.99,0.94,0.98,1.05,12.58,2.13
histo,1,1200,450,3,510494,123.05,68.05,51.74,16.31,425,0.96,0.9,0.79,0.94,0.88,1.02,1.1,12.58,2.13
histo,1,600,900,4,36351,114.78,59.78,34.96,24.82,60,0.83,0.81,0.57,0.89,0.54,0.93,1.56,12.36,1.99
histo,1,800,900,4,42406,123.26,68.26,39.86,28.4,53,0.94,0.93,0.73,0.96,0.69,0.98,1.36,12.36,1.99
histo,1,1000,900,4,51182,126.72,71.72,42.14,29.58,51,0.98,0.97,0.87,0.99,0.84,1,1.16,12.36,1.99
